scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Balaenoptera acutorostrata,56.5993,-168.285,2004-06-21T19:10:43,2004,6,21,3,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Common minke whale,108,4.68,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,53.3277,-145.8569,2011-07-10,2011,7,10,,HumanObservation,EC-CWS Eastern Canada Seabirds at Sea,Minke Whale,4130,7.41,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,57.669615,-149.04528,2013-07-09T19:25:39,2013,7,9,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Common minke whale,2362,7.75,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.824,-169.5375,2000-06-28T07:33:02,2000,6,28,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,69,4.03,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.8053,-167.6803,2002-06-21T17:10:26,2002,6,21,1,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Common minke whale,87,4.36,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,59.777328,-149.491611,2021-08-06,2021,8,6,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,145,7.62,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,57.079743,-135.39053,2023-07-13T13:55:54,2023,7,13,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,73,8.48,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,55.7695,-165.1877,2004-06-14T19:45:06,2004,6,14,1,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Common minke whale,101,5.26,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,57.6727,-166.598,2002-06-19T10:33:28,2002,6,19,1,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Common minke whale,63,2.79,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,54.2307,-166.0392,2002-06-17T14:52:31,2002,6,17,1,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Common minke whale,118,5.42,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.61,-169.449,2000-06-28T10:54:20,2000,6,28,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,48,4.28,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.686,-168.8998,2000-06-28T13:49:59,2000,6,28,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,99,4.44,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.4093,-164.0065,2000-06-16T15:49:18,2000,6,16,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,78,4.67,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.9748,-163.0225,2010-06-12T08:42:48,2010,6,12,1,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Common minke whale,61,3.65,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,59.2818,-148.9302,2003-07-10T18:27:43,2003,7,10,1,HumanObservation,NMML Gulf of Alaska marine mammal survey 2003,Common minke whale,169,7.96,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.5787,-169.4263,2000-06-28T11:07:03,2000,6,28,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,42,4.46,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,54.2987,-166.506,2010-06-18T07:34:00,2010,6,18,2,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Common minke whale,987,5.48,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.1047,-165.1347,2008-06-09T13:28:35,2008,6,9,1,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Common minke whale,94,4.95,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.6515,-160.3787,2000-06-12T15:05:22,2000,6,12,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,61,4.69,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.283,-167.6317,2000-06-23T16:12:34,2000,6,23,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,131,5.04,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,57.026,-167.6937,2002-06-21T18:16:38,2002,6,21,1,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Common minke whale,69,3.86,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,55.6857,-162.8435,2000-06-14T13:42:38,2000,6,14,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,52,5.17,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,59.9832,-147.1382,2003-07-13T09:04:27,2003,7,13,1,HumanObservation,NMML Gulf of Alaska marine mammal survey 2003,Common minke whale,203,8.11,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.832,-169.5385,2000-06-28T07:30:47,2000,6,28,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,68,4.03,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.928,-168.9287,2000-06-26T15:10:26,2000,6,26,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,82,3.97,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,53.9574,-164.2537,2009-07-15,2009,7,15,,HumanObservation,EC-CWS Eastern Canada Seabirds at Sea,Minke Whale,96,6.04,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,55.7012,-162.4058,2000-06-14T11:11:25,2000,6,14,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,33,5.06,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,55.8377,-162.2517,2000-06-14T10:19:51,2000,6,14,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,41,5.02,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,56.5145,-168.8782,2000-06-26T13:09:02,2000,6,26,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Common minke whale,97,4.66,Minke Whale,Balaenoptera acutorostrata
