scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,country,bathymetry,sst,species_common,species_scientific
Balaenoptera acutorostrata,33.629142,-118.292542,2017-04-17T16:34,2017,4,17,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,307,17.13,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.001,-118.194667,2011-04-16T13:27:15,2011,4,16,1,HumanObservation,"SOCAL KB04, FZN1, FZN2 Marine Mammal Aerial Monitoring 2011-2012",Common minke whale,,847,17.41,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,42.5442,-127.2363,2014-09-15T13:23:04,2014,9,15,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Common minke whale,,2894,13.09,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.494252,-117.952005,2006-04-08T05:41,2006,4,8,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Common minke whale,,468,17.46,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.556,-118.106,2018-06-21T13:18:30,2018,6,21,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,300,17.26,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.616746,-118.002777,2024-08-06T12:02:20,2024,8,6,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,20,17.26,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,30.35,-116.07,2003-08-01T06:21:48,2003,8,1,1,HumanObservation,"SWFSC Marine Mammal Survey, STAR 2003, Cruise 1624",Common minke whale,,103,17.01,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.548234,-122.987781,2013-08-02T11:10:16,2013,8,2,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,61,9.72,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.43,-117.7,2023-10-07T11:44:11,2023,10,7,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,45,17.54,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.5988,-118.2291,2017-09-04T13:35:13,2017,9,4,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,59,17.19,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.9585,-119.149833,2009-09-18T11:12:37,2009,9,18,1,HumanObservation,"SWFSC Marine Mammal Survey, Delphinus 2009, Cruise 1640",Common minke whale,,704,16.43,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,34.284311,-119.495544,2023-07-13T14:58:20,2023,7,13,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,64,15.66,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.778,-123.8847,2014-11-28T10:51:55,2014,11,28,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Common minke whale,,4382,15.99,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.253333,-117.905556,2022-06-10T10:25:14,2022,6,10,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,790,17.54,Minke Whale,Balaenoptera acutorostrata
