scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Balaenoptera musculus,58.258833,-148.589333,2015-08-21T08:17:02,2015,8,21,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,374,7.87,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,55.979867,-144.573285,2013-06-29T14:21:29,2013,6,29,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Blue whale,2630,7.61,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,53.956333,-152.931,2015-08-13T09:32:25,2015,8,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,4431,6.83,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,56.317497,-144.571472,2013-07-04T19:21:18,2013,7,4,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Blue whale,3888,7.65,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,53.954667,-152.871167,2015-08-13T07:57:39,2015,8,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,4434,6.84,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,58.55,-144.56,2004-07-15T16:41,2004,7,15,1,HumanObservation,"Cascadia Research Blue Whale Photo IDs for US West Coast, 1972-2004",Blue whale,3777,8.12,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,53.936,-152.840333,2015-08-13T11:35:51,2015,8,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,4418,6.84,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,59.28,-142.76,2004-07-14T18:26,2004,7,14,1,HumanObservation,"Cascadia Research Blue Whale Photo IDs for US West Coast, 1972-2004",Blue whale,2532,8.59,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,54.000333,-152.885,2015-08-13T07:25:44,2015,8,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,4515,6.84,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,56.430288,-146.203372,2013-07-03T21:23:22,2013,7,3,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Blue whale,2361,7.45,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,54.668833,-154.5815,2015-08-12T17:08:42,2015,8,12,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,5098,6.91,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,54.899667,-152.747167,2015-08-14T15:49:02,2015,8,14,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,4124,6.93,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,52.01,-131.24,2003-08-07T10:33,2003,8,7,1,HumanObservation,"Cascadia Research Blue Whale Photo IDs for US West Coast, 1972-2004",Blue whale,289,9.9,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,53.656833,-152.0255,2015-08-13T15:36:07,2015,8,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,4808,6.86,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,58.37,-134.67,2022-08-17,2022,8,17,1,HumanObservation,Happywhale - Blue whale in North Pacific Ocean,Blue whale,46,7.36,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,53.933833,-152.7655,2015-08-13T11:52:01,2015,8,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,4393,6.84,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,53.764333,-151.896333,2015-08-13T19:40:06,2015,8,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,5011,6.87,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,51.97,-131.22,2003-08-07T11:05,2003,8,7,1,HumanObservation,"Cascadia Research Blue Whale Photo IDs for US West Coast, 1972-2004",Blue whale,728,9.9,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,58.65,-144.41,2004-07-15T13:37,2004,7,15,1,HumanObservation,"Cascadia Research Blue Whale Photo IDs for US West Coast, 1972-2004",Blue whale,3721,8.17,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,54.948167,-152.864333,2015-08-14T15:19:51,2015,8,14,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,4233,6.95,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,54.256667,-150.570667,2015-08-15T07:46:09,2015,8,15,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,3434,6.87,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,57.09,-151.62,2004-07-24T15:44,2004,7,24,1,HumanObservation,"Cascadia Research Blue Whale Photo IDs for US West Coast, 1972-2004",Blue whale,130,7.02,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,55.811758,-143.92671,2013-06-26T16:48:51,2013,6,26,2,HumanObservation,GOALS Vessel Surveys June - July 2013,Blue whale,3922,7.67,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,55.992728,-142.194385,2013-06-27T12:14:16,2013,6,27,2,HumanObservation,GOALS Vessel Surveys June - July 2013,Blue whale,3599,7.96,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,53.739833,-152.230833,2015-08-13T14:13:26,2015,8,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Blue whale,4804,6.86,Blue Whale,Balaenoptera musculus
