scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Balaenoptera musculus,42.62591,-69.23986,2008-02-25T14:03:26,2008,2,25,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,207,11.62,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.62075,-69.86855,2023-12-07T10:41:58,2023,12,7,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,221,11.66,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.11779,-67.07653,2022-07-31T13:18:06,2022,7,31,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,60,10.81,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,44.228766,-67.617043,2015-09-26T12:38,2015,9,26,1,HumanObservation,Happywhale - Blue whale in North Atlantic Ocean,Blue whale,118,9.0,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.60971,-69.86343,2023-12-07T11:01:10,2023,12,7,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,227,11.66,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,41.4249,-66.20718,2013-08-08T15:13:38,2013,8,8,1,HumanObservation,AMAPPS Northeast Shipboard Cruise Summer 2013,Blue whale,108,11.76,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.08046,-67.24534,2022-07-31T11:30:27,2022,7,31,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,45,10.92,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,36.965515,-74.590778,2022-10-21T10:38,2022,10,21,4,HumanObservation,VACAPES Offshore Study Area Observations,Blue whale,810,18.15,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,40.2273,-69.12857,2016-07-20T16:03:42,2016,7,20,1,HumanObservation,AMAPPS Northeast Shipboard Cruise Summer 2016,Blue whale,105,14.36,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,39.90689,-71.67097,2023-10-17T14:33:18,2023,10,17,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,173,15.53,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.25553,-70.1789733,2019-10-14,2019,,,,MachineObservation,,blue whale,43,11.52,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.47096,-70.242305,2019-10-25,2019,,,,MachineObservation,,blue whale,69,11.49,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,40.52862,-67.37687,2002-06-16T14:05:11,2002,6,16,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,152,13.82,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,39.5554,-71.8891,2016-11-23T12:14:48,2016,11,23,1,HumanObservation,Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2016,Blue whale,733,16.34,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,44.318299,-66.837097,2024-08-31T13:38:02,2024,8,31,1,HumanObservation,Happywhale - Blue whale in North Atlantic Ocean,Blue whale,181,8.86,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.47096,-70.242305,2019-10-26,2019,,,,MachineObservation,,blue whale,69,11.49,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,39.931503,-70.407233,2021-07-05T18:31:20,2021,7,5,1,HumanObservation,AMAPPS Northeast Shipboard Cruise Summer 2021,Blue whale,444,15.88,Blue Whale,Balaenoptera musculus
