scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Balaenoptera physalus,57.9916,-152.6321,2012-10-09T13:14,2012,10,9,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,124,6.63,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.803101,-153.513512,2011-01-08T05:08:14,2011,1,8,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,125,6.92,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.9136,-152.6715,2011-06-09T10:22,2011,6,9,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,92,6.65,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,59.697333,-149.410833,2015-07-25T18:06:52,2015,7,25,2,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Fin whale,159,7.7,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.887,-152.7246,2010-06-20T15:08,2010,6,20,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,58,6.65,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,54.902667,-132.6055,2004-08-26T14:08:16,2004,8,26,3,HumanObservation,Lamont-Doherty/LGL/NSF cruises,Fin whale,310,8.91,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,55.8955,-169.9287,2008-06-17T20:57:50,2008,6,17,3,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Fin whale,1678,5.25,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,56.5945,-165.1493,2008-06-09T17:02:12,2008,6,9,2,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Fin whale,74,4.05,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.959589,-152.657568,2022-08-15T13:03:59,2022,8,15,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,126,6.63,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,52.5,-137.5,2006-12-21T00:00:00,2006,12,21,1,HumanObservation,TOPP Summary of SSM-derived Telemetry,Fin whale,3546,9.09,Fin Whale,Balaenoptera physalus
