scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Eschrichtius robustus,57.017382,-135.608687,2023-04-19T10:55:19,2023,4,19,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,13,8.63,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.1164,-135.56631,2010-04-07T10:47:15,2010,4,7,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,42,8.52,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,56.97,-135.54,2022-07-09T11:22:29,2022,7,9,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,79,8.62,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.01713,-135.62909,2023-04-19T10:31:22,2023,4,19,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,8,8.63,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.110025,-135.570525,2023-04-14T10:30:31,2023,4,14,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,-3,8.52,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.013131,-135.442194,2018-07-22T11:06:55,2018,7,22,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,140,8.59,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.152903,-135.515046,2022-05-18T11:14:03,2022,5,18,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,-1,8.52,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,56.97,-135.54,2021-03-05,2021,3,5,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,79,8.62,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.001663,-135.59917,2023-04-19T10:03:40,2023,4,19,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,18,8.63,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.016923,-135.629025,2023-04-19T10:32:18,2023,4,19,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,8,8.63,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.354333,-152.425833,2015-07-30T15:45:39,2015,7,30,3,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Gray whale,66,6.7,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.148874,-135.507247,2024-05-17,2024,5,17,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,-52,8.52,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.100695,-135.472,2023-05-11T13:30:08,2023,5,11,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,-13,8.52,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.00462,-135.59768,2009-06-21T16:38:27,2009,6,21,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,18,8.63,Gray Whale,Eschrichtius robustus
Eschrichtius robustus,57.00174,-135.5995,2023-04-19T09:57:28,2023,4,19,1,HumanObservation,Happywhale - Gray whale in North Pacific Ocean,Gray whale,18,8.63,Gray Whale,Eschrichtius robustus
