scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Eubalaena glacialis,30.12813,-81.01507,2019-01-01T11:08:25,2019,1,1,2,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2018-19,North Atlantic right whale,21,23.5,North Atlantic Right Whale,Eubalaena glacialis
Eubalaena glacialis,30.365645,-80.727758,2010-04-02T15:09,2010,4,2,1,HumanObservation,USWTR JAX Aerial Survey -Left side- 2009-2010,North Atlantic right whale,31,24.03,North Atlantic Right Whale,Eubalaena glacialis
Eubalaena glacialis,30.33379,-81.2414,2019-01-01T09:33:42,2019,1,1,2,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2018-19,North Atlantic right whale,15,22.96,North Atlantic Right Whale,Eubalaena glacialis
Eubalaena glacialis,30.428521,-80.677282,2010-03-20T16:11,2010,3,20,1,HumanObservation,USWTR JAX Aerial Survey -Left side- 2009-2010,North Atlantic right whale,32,24.1,North Atlantic Right Whale,Eubalaena glacialis
Eubalaena glacialis,30.62969,-81.10237,2017-01-14T12:07:28,2017,1,14,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2016-17,North Atlantic right whale,20,22.59,North Atlantic Right Whale,Eubalaena glacialis
Eubalaena glacialis,30.83379,-81.02819,2017-01-05T17:18:48,2017,1,5,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2016-17,North Atlantic right whale,16,22.66,North Atlantic Right Whale,Eubalaena glacialis
Eubalaena glacialis,29.2478,-81.01124,2019-03-03T11:24:04,2019,3,3,2,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2018-19,North Atlantic right whale,3,,North Atlantic Right Whale,Eubalaena glacialis
Eubalaena glacialis,30.98613,-81.30707,2019-03-07T11:47:06,2019,3,7,2,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2018-19,North Atlantic right whale,8,22.36,North Atlantic Right Whale,Eubalaena glacialis
Eubalaena glacialis,30.39702,-80.734435,2014-02-16T15:24:03,2014,2,16,1,HumanObservation,AFTT JAX Aerial Survey -Left side- 2014,North Atlantic right whale,32,24.03,North Atlantic Right Whale,Eubalaena glacialis
Eubalaena glacialis,30.58846,-81.28824,2017-01-31T09:54:52,2017,1,31,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2016-17,North Atlantic right whale,15,22.47,North Atlantic Right Whale,Eubalaena glacialis
