scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Megaptera novaeangliae,30.48046,-81.26657,2018-02-18T13:09:02,2018,2,18,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2017-18,Humpback whale,17,22.77,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,23.07,-82.67,2006-04-17T00:00:00,2006,4,17,2,HumanObservation,Marine mammal records of Cuba,Humpback whale,830,27.68,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,29.73163,-81.21357,2018-02-25T11:23:31,2018,2,25,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2017-18,Humpback whale,15,23.54,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,30.93696,-81.23407,2017-02-14T12:09:31,2017,2,14,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2016-17,Humpback whale,12,22.45,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,30.87763,-80.89457,2018-02-24T11:54:15,2018,2,24,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2017-18,Humpback whale,22,22.9,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,30.98963,-81.2694,2017-03-25T16:33:36,2017,3,25,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2016-17,Humpback whale,9,22.36,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,30.70913,-80.82824,2019-01-02T13:28:03,2019,1,2,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2018-19,Humpback whale,21,23.32,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,30.16146,-81.26957,2017-03-09T16:06:34,2017,3,9,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2016-17,Humpback whale,14,23.21,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,29.98479,-81.26057,2017-03-01T12:34:30,2017,3,1,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2016-17,Humpback whale,17,23.34,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,30.18729,-81.3449,2017-02-01T17:13:07,2017,2,1,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2016-17,Humpback whale,14,23.07,Humpback Whale,Megaptera novaeangliae
Megaptera novaeangliae,30.11729,-81.0314,2017-12-17T14:29:22,2017,12,17,1,HumanObservation,SEUS Right Whale EWS Aerial Surveys 2017-18,Humpback whale,20,23.5,Humpback Whale,Megaptera novaeangliae
