scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Physeter macrocephalus,55.404167,-154.588667,2015-08-12T07:44:12,2015,8,12,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Sperm whale,1501,7.13,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,57.88664,-147.347065,2013-07-11T08:19:47,2013,7,11,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Sperm whale,4632,7.71,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,56.737983,-136.011383,2009-06-21T08:27:15,2009,6,21,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,501,8.99,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,58.69006,-148.33066,2006-08-14T16:10:01,2006,8,14,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,263,8.07,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,57.267733,-136.399167,2005-05-24T17:23:41,2005,5,24,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,969,8.9,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,56.602817,-135.825783,2011-08-18T15:06:52,2011,8,18,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,356,8.92,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,59.135,-145.960167,2004-09-18T16:15:28,2004,9,18,1,HumanObservation,Lamont-Doherty/LGL/NSF cruises,Sperm whale,3120,8.3,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,59.1735,-147.3893,2003-07-12T08:53:38,2003,7,12,1,HumanObservation,NMML Gulf of Alaska marine mammal survey 2003,Sperm whale,719,8.23,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,58.57192,-148.3397,2006-08-14T16:23:32,2006,8,14,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,720,8.02,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,57.77899,-148.186203,2013-07-10T13:34:41,2013,7,10,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Sperm whale,3059,7.75,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,53.9995,-152.171833,2015-08-13T21:21:06,2015,8,13,11,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Sperm whale,4374,6.86,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,57.033467,-136.539733,2009-06-13T12:19:33,2009,6,13,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,1925,9.03,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,56.469333,-152.280667,2015-08-09T18:27:15,2015,8,9,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Sperm whale,302,7.25,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,57.214667,-136.341833,2007-07-18T20:19:03,2007,7,18,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,823,8.93,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,59.1915,-147.4062,2003-07-12T10:34:53,2003,7,12,1,HumanObservation,NMML Gulf of Alaska marine mammal survey 2003,Sperm whale,583,8.23,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,56.962167,-136.206167,2007-07-07T21:13:43,2007,7,7,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,1241,8.96,Sperm Whale,Physeter macrocephalus
