scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Physeter macrocephalus,19.5445,-156.17442,2009-10-20T12:06:00,2009,10,20,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys October 2009,Sperm whale,2911,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.54316,-156.71181,2008-07-06T10:31,2008,7,6,9,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4232,25.56,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.077677,-159.93257,2012-01-18T14:48:26,2012,1,18,1,HumanObservation,"HRC Vessel Survey off Kaua'i, January 2012",Sperm whale,1430,25.46,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.00733,-159.90158,2018-08-16T10:22,2018,8,16,3,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,752,25.45,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.17293,-159.889122,2012-01-15T12:41:07,2012,1,15,1,HumanObservation,"HRC Vessel Survey off Kaua'i, January 2012",Sperm whale,745,25.41,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.78053,-156.13895,2006-04-24T08:47,2006,4,24,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,1645,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.31157,-156.08743,2003-10-18T10:08,2003,10,18,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,3328,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.10266,-156.02553,2014-11-29T11:38,2014,11,29,18,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2383,25.57,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.27579,-155.94826,2006-04-22T14:59,2006,4,22,4,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,1742,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.72167,-156.31001,2015-11-11T08:03,2015,11,11,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4742,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.239367,-159.9177,2014-02-18T11:16:25,2014,2,18,1,HumanObservation,HRC KB26 SCC Aerial Surveys Feb 2014,Sperm whale,1628,25.42,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.92883,-160.01017,2016-07-06T12:29:09,2016,7,6,16,HumanObservation,"PIFSC, Cetacean Survey, HITEC 2016, Cruise 1604, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4830,25.17,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.77363,-156.15927,2010-07-21T10:36,2010,7,21,15,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2420,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,18.86433,-155.61617,2020-03-02T14:07:20,2020,3,2,1,HumanObservation,"PIFSC, Cetacean Survey, WHICEAS 2020, Cruise 2001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,1870,25.34,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.248723,-159.95895,2014-02-19T08:13:02,2014,2,19,1,HumanObservation,HRC KB26 SCC Aerial Surveys Feb 2014,Sperm whale,1899,25.42,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.207957,-159.952153,2012-01-15T11:06:59,2012,1,15,1,HumanObservation,"HRC Vessel Survey off Kaua'i, January 2012",Sperm whale,1557,25.42,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.72968,-156.11795,2013-05-22T15:54,2013,5,22,3,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,1848,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.76954,-156.1613,2006-04-24T08:57:00,2006,4,24,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys March-April 2006,Sperm whale,2420,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.54316,-156.71181,2008-07-06T10:31:00,2008,7,6,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys June-July 2008,Sperm whale,4232,25.56,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.56895,-156.05859,2002-04-13T13:54,2002,4,13,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,1807,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.79536,-159.49585,2003-06-09T07:51,2003,6,9,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,1457,25.44,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.74499,-156.14421,2017-06-22T06:28,2017,6,22,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2134,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.88223,-156.28564,2020-08-08T11:40,2020,8,8,25,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,3055,25.57,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,20.43367,-156.96467,2020-02-03T09:01:20,2020,2,3,10,HumanObservation,"PIFSC, Cetacean Survey, WHICEAS 2020, Cruise 2001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,784,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.17733,-159.13817,2019-04-02T13:06:23,2019,4,2,5,HumanObservation,"PIFSC, Cetacean Survey, PMNM Humpback Whales 2019, Cruise 1901, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4608,25.88,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,23.994,-158.7215,2017-08-11T10:17:19,2017,8,11,1,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2017, Cruise 1705/1706, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4640,24.85,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.60197,-156.29572,2006-12-06T11:05:00,2006,12,6,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys November-December 2006,Sperm whale,4583,25.6,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.60733,-154.803,2017-11-30T16:25:50,2017,11,30,3,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2017, Cruise 1705/1706, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4465,24.71,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.228057,-159.976171,2014-02-19T10:09:09,2014,2,19,1,HumanObservation,HRC KB26 SCC Aerial Surveys Feb 2014,Sperm whale,1839,25.42,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.40221,-155.95871,2006-04-21T15:53:00,2006,4,21,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys March-April 2006,Sperm whale,1186,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.53291,-156.0596,2006-12-07T08:22,2006,12,7,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2040,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.56517,-156.41826,2008-07-09T13:52,2008,7,9,13,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4645,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.3816,-156.36943,2010-12-08T10:22:00,2010,12,8,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys December 2010,Sperm whale,4426,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.41,-156.86,2003-08-26T08:36:05,2003,8,26,4,HumanObservation,"SWFSC Marine Mammal Survey, STAR 2003, Cruise 1623",Sperm whale,4754,25.58,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,23.61517,-155.16217,2010-08-13T19:17:59,2010,8,13,12,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2010, Cruise 1641, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4243,24.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.14711,-156.16631,2013-05-16T11:31,2013,5,16,22,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,3704,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.5445,-156.17442,2009-10-20T12:06,2009,10,20,11,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2911,25.61,Sperm Whale,Physeter macrocephalus
