scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,country,bathymetry,sst,species_common,species_scientific
Physeter macrocephalus,41.310333,-127.565167,2018-10-18T07:59:55,2018,10,18,8,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Sperm whale,,2539,13.4,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.223523,-117.95005,2022-11-21T15:52:48,2022,11,21,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,845,17.57,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,36.627667,-128.460667,2018-10-20T12:17:02,2018,10,20,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,4702,15.49,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.618745,-118.311637,2023-06-12T17:33:05,2023,6,12,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,422,17.13,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,47.905,-125.9745,2008-07-29T19:22:47,2008,7,29,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635",Sperm whale,,1601,11.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.738015,-118.44787,2021-10-28T13:43:44,2021,10,28,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,400,17.04,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.724389,-122.032445,2003-07-26T07:02:42,2003,7,26,4,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,3739,14.95,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,32.7286,-118.6627,2023-07-21T09:47,2023,7,21,1,HumanObservation,Cuvier's Beaked Whale and Fin Whale Surveys at the Southern California Offshore Anti-submarine Warfare Range (SOAR),Sperm whale,,1060,16.82,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,30.23688,-122.911691,2007-04-03T11:59,2007,4,3,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - off effort,Sperm whale,,4329,17.32,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,34.978167,-123.623667,2001-09-30T09:32:00,2001,9,30,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1617",Sperm whale,,4135,14.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,36.8575,-124.1548,2014-11-21T09:35:51,2014,11,21,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,3136,13.7,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,31.789899,-119.694319,2007-01-14T11:45,2007,1,14,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,3506,16.13,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,37.177452,-122.801309,2002-05-24T15:01:48,2002,5,24,25,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,326,12.93,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,31.867951,-122.230292,2004-07-22T10:17,2004,7,22,4,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,4064,16.09,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,35.703,-127.074667,2001-08-03T18:36:15,2001,8,3,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1617",Sperm whale,,4820,15.55,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,31.896593,-122.110716,2004-07-22T12:51,2004,7,22,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - off effort,Sperm whale,,3840,16.05,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,39.311905,-124.686087,2005-05-19T18:23:00,2005,5,19,27,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,3068,12.74,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.29,-118.0,2024-07-30T09:59:27,2024,7,30,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,802,17.54,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.923626,-120.703825,2004-05-06T19:45:36,2004,5,6,1,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,1835,14.37,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.644414,-122.181678,2005-07-13T15:13:24,2005,7,13,1,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,3969,15.03,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,32.699676,-119.396627,2002-07-07T17:56:48,2002,7,7,3,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,782,15.89,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.494833,-120.853333,2009-11-24T11:23:52,2009,11,24,25,HumanObservation,"SWFSC Marine Mammal Survey, Delphinus 2009, Cruise 1640",Sperm whale,,3560,14.84,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.515,-118.214167,2016-12-05T16:30:57,2016,12,5,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,612,17.23,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,41.413167,-125.924333,2005-07-09T08:15:37,2005,7,9,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1627",Sperm whale,,3073,12.69,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,34.130338,-119.434798,2022-08-28T12:06:42,2022,8,28,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,239,15.77,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.546525,-120.805167,2006-02-14T15:00,2006,2,14,2,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - off effort,Sperm whale,,2538,14.76,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.718,-127.630667,2008-10-21T10:34:09,2008,10,21,4,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635",Sperm whale,,4445,14.33,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,42.854,-127.03,2014-09-13T10:46:54,2014,9,13,2,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,2614,13.01,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,32.876594,-122.081935,2004-07-22T12:58,2004,7,22,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,4091,15.46,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,37.516628,-123.499073,2001-05-15T17:48:30,2001,5,15,21,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,2562,12.83,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.541541,-120.834523,2005-07-11T15:14:48,2005,7,11,1,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,3451,14.74,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,34.536277,-125.171146,2003-02-16T17:12:18,2003,2,16,7,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,4539,15.39,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.634938,-122.173782,2005-07-13T14:18,2005,7,13,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,3982,15.03,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.623371,-118.311527,2021-11-11,2021,11,11,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,422,17.13,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.543813,-118.245055,2016-12-05T17:15,2016,12,5,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,494,17.23,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,42.854,-127.03,2014-11-08T15:13:14,2014,11,8,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,2614,13.01,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,36.5899,-122.0189,2016-10-11T12:13,2016,10,11,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,437,12.84,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,39.881833,-124.965833,2018-08-08T11:52:26,2018,8,8,2,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Sperm whale,,1778,12.56,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.825602,-124.478699,2004-05-17T20:40:18,2004,5,17,18,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,3490,12.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.457833,-127.727667,2008-10-21T08:05:02,2008,10,21,3,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635",Sperm whale,,4627,14.43,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,30.54349,-123.763068,2006-02-07T12:09,2006,2,7,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,4091,17.22,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,40.125667,-125.237667,2018-08-08T09:47:34,2018,8,8,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,1636,12.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,35.326897,-121.886394,2004-04-15T21:59:48,2004,4,15,1,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,1862,14.01,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,48.033,-125.8065,2005-06-11T16:24:34,2005,6,11,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1627",Sperm whale,,942,11.4,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,44.973167,-128.237333,2004-10-21T19:08:12,2004,10,21,1,HumanObservation,Lamont-Doherty/LGL/NSF cruises,Sperm whale,,2844,12.7,Sperm Whale,Physeter macrocephalus
